,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner
294,Maruti Vitara Brezza VDi Option,2010,170000,62000,Petrol,Dealer,Manual,First Owner
295,Maruti Alto K10 LXI,2017,1800000,10000,Petrol,Individual,Manual,First Owner
296,Maruti Swift VXI with ABS,2015,1300000,30000,Petrol,Individual,Manual,First Owner
297,Hyundai Santro LS zipPlus,2006,200999,90000,Petrol,Individual,Automatic,First Owner
298,Skoda Rapid 1.5 TDI Ambition,2014,120000,50000,Petrol,Dealer,Manual,First Owner
299,Tata Nano Lx BSIV,2012,60000,90000,Diesel,Individual,Manual,First Owner
300,Mahindra Jeep CL 500 MDI,2013,250000,31000,Petrol,Individual,Manual,First Owner
301,Chevrolet Beat Diesel LS,2014,409999,5000,Diesel,Individual,Manual,First Owner
302,Ford Figo Aspire Facelift,2011,90000,67000,Petrol,Dealer,Automatic,Second Owner
303,Hyundai i20 Active 1.2 S,2020,240000,120000,Diesel,Individual,Manual,First Owner
304,Maruti Swift Dzire VDi,2017,280000,30000,Petrol,Dealer,Manual,First Owner
305,Toyota Etios Liva 1.4 VD,2006,750000,80000,Petrol,Individual,Manual,Second Owner
306,Tata Tiago 1.05 Revotorq XE,2018,151000,32260,Petrol,Individual,Manual,Second Owner
307,Maruti Eeco CNG 5 Seater AC BSIV,2017,175000,120000,Petrol,Individual,Manual,First Owner
308,Maruti Ciaz 1.4 AT Zeta,2014,160000,73000,Petrol,Dealer,Manual,Second Owner
309,Chevrolet Beat LS,2017,60000,80000,Petrol,Individual,Manual,First Owner
310,Ford Endeavour 3.2 Titanium AT 4X4,2017,650000,100000,Petrol,Dealer,Manual,First Owner
311,Maruti Swift DDiS VDI,2014,430000,210000,Petrol,Individual,Manual,Second Owner
312,Skoda Superb Ambition 2.0 TDI CR AT,2015,256000,19077,Petrol,Individual,Manual,First Owner
313,Mahindra Verito 1.5 D4 BSIV,2007,250000,30000,Petrol,Individual,Manual,Third Owner
314,Renault KWID 1.0 RXT Optional,2017,250000,40000,Petrol,Individual,Manual,First Owner
315,Maruti Wagon R LXI Minor,2010,2550000,21302,Diesel,Individual,Manual,First Owner
316,Tata Indigo LX Dicor,2007,170000,88000,Petrol,Individual,Manual,Third Owner
317,Chevrolet Optra 1.6,2011,300000,20000,Petrol,Dealer,Manual,First Owner
318,Hyundai Santro Magna BSIV,2012,280000,5000,Petrol,Trustmark Dealer,Manual,First Owner
319,Hyundai Verna 1.6 SX VTVT (O),2014,130000,50000,Petrol,Dealer,Manual,First Owner
320,Maruti 800 AC,2017,450000,35000,Petrol,Individual,Manual,First Owner
321,Ford Fiesta 1.6 ZXi Leather,2017,350000,70000,Diesel,Individual,Manual,First Owner
322,Toyota Fortuner 4x2 AT,2014,350000,70000,Diesel,Individual,Manual,Second Owner
323,Maruti Swift VXI,1996,50000,1758,Petrol,Dealer,Automatic,First Owner
324,Tata Nano Lx BSIV,2008,595000,154000,Petrol,Individual,Manual,Fourth & Above Owner
325,Maruti Wagon R LXI CNG,2010,350000,90000,Petrol,Dealer,Manual,First Owner
326,Mahindra Xylo D2 BS IV,2017,725000,30000,Petrol,Dealer,Manual,First Owner
327,Hyundai Grand i10 Asta Option,2018,130000,9748,Diesel,Individual,Manual,First Owner
328,Tata Indigo CR4,2013,500000,70000,Petrol,Dealer,Manual,Second Owner
329,Maruti Celerio VXI AMT BSIV,2014,250000,73000,Petrol,Individual,Manual,First Owner
330,Mahindra Bolero Power Plus Plus AC BSIV PS,2012,250000,14000,Petrol,Individual,Manual,First Owner
331,Hyundai Grand i10 Magna,2007,130000,41000,Petrol,Dealer,Manual,First Owner
332,Tata Nano Std,2017,419000,40000,Diesel,Individual,Manual,First Owner
333,Tata Indica Vista Quadrajet VX,2007,1300000,55300,Diesel,Individual,Manual,First Owner
334,Hyundai Verna SX CRDi AT,2017,880000,44000,Diesel,Individual,Manual,First Owner
335,Toyota Innova 2.5 V Diesel 7-seater,2013,350000,110000,Petrol,Individual,Manual,First Owner
336,Maruti Wagon R LXI,2012,45000,120000,Diesel,Individual,Manual,First Owner
337,Hyundai i10 Era,2012,325000,50000,Petrol,Individual,Manual,First Owner
338,Hyundai i20 1.2 Asta,2014,300000,70070,Diesel,Individual,Manual,First Owner
339,Maruti Zen D PS,2014,350000,145000,Petrol,Individual,Manual,First Owner
340,Ford Figo Petrol Titanium,2014,455000,100000,Petrol,Dealer,Manual,First Owner
341,Hyundai Creta 1.4 E Plus,2018,975000,110000,Petrol,Individual,Manual,First Owner
342,Maruti Swift VDI Optional,2010,450000,87620,Diesel,Individual,Manual,First Owner
343,Ford Figo Aspire 1.2 Ti-VCT Trend,2017,800000,3000,Petrol,Dealer,Manual,First Owner
344,Hyundai Verna 1.6 VTVT SX,2017,60000,110000,Diesel,Individual,Manual,First Owner
345,Volkswagen Polo Petrol Highline 1.2L,2007,475000,65000,Diesel,Individual,Manual,First Owner
346,Skoda Rapid 1.5 TDI Ambition,2009,620000,88000,Petrol,Dealer,Manual,First Owner
347,Ford Figo Titanium,2007,2500000,76000,Diesel,Dealer,Manual,First Owner
348,Maruti Alto LXi,2007,599000,29000,Petrol,Individual,Manual,First Owner
349,Maruti Swift Dzire LDI,2015,300000,50000,Petrol,Individual,Manual,First Owner
350,Volkswagen Polo 1.5 TDI Highline,2016,80000,66000,Petrol,Individual,Manual,First Owner
351,Maruti Wagon R VXI,2011,60000,40000,Diesel,Individual,Manual,Second Owner
352,Hyundai Santro GLS I - Euro I,2011,650000,195000,Petrol,Individual,Automatic,First Owner
353,Hyundai Accent Executive CNG,2012,287000,81632,Petrol,Individual,Manual,Second Owner
354,Chevrolet Beat LS,2020,75000,1010,Diesel,Dealer,Manual,First Owner
355,Maruti Alto K10 2010-2014 VXI,2006,350000,28481,Diesel,Individual,Manual,First Owner
356,Hyundai i20 Asta 1.2,2011,1470000,15000,Diesel,Individual,Manual,First Owner
357,Toyota Innova 2.5 G (Diesel) 7 Seater,2007,270000,97000,Diesel,Individual,Manual,First Owner
358,Tata Nano LX,2015,4000000,53652,Diesel,Individual,Manual,Second Owner
359,Maruti Ciaz VDi Plus SHVS,2017,545000,50852,Diesel,Individual,Manual,First Owner
360,Hyundai Santro Magna AMT BSIV,2011,80000,70000,Diesel,Individual,Manual,First Owner
361,Honda Amaze S AT i-Vtech,2008,40000,55766,Petrol,Dealer,Automatic,Third Owner
362,Tata Zest Revotron 1.2T XMS,2007,90000,80000,Petrol,Individual,Manual,First Owner
363,Maruti Swift DDiS VDI,2017,675000,100000,Petrol,Individual,Manual,First Owner
364,Maruti SX4 Vxi BSIV,2017,170000,50000,Petrol,Individual,Manual,First Owner
365,Audi Q5 2.0 TFSI Quattro Premium Plus,2018,80000,70000,Petrol,Individual,Manual,First Owner
366,Ford Fusion 1.6 Duratec Petrol,2014,271000,27974,Diesel,Individual,Manual,First Owner
367,Maruti Eeco 5 Seater AC BSIV,2009,260000,40000,Diesel,Dealer,Manual,First Owner
368,Renault KWID RXT,2017,110000,15000,Petrol,Individual,Manual,First Owner
369,Hyundai Accent Executive,2010,520000,135000,Diesel,Individual,Manual,First Owner
370,Honda Amaze E i-VTEC,2018,1600000,132343,Diesel,Dealer,Manual,Third Owner
371,Chevrolet Aveo U-VA 1.2 LT,2017,900000,20969,Petrol,Dealer,Manual,Second Owner
372,Hyundai i20 1.2 Asta,2014,400000,120000,Diesel,Individual,Manual,First Owner
373,Maruti Omni CNG,2018,200000,86000,Diesel,Dealer,Manual,Third Owner
374,Mahindra TUV 300 T4 Plus,2018,600000,16000,Petrol,Individual,Manual,First Owner
375,Mahindra Verito 1.5 D4 BSIV,2017,300000,128000,Petrol,Individual,Manual,Third Owner
376,Hyundai Grand i10 CRDi Magna,2012,229999,80000,Diesel,Individual,Manual,First Owner
377,Chevrolet Sail 1.2 Base,2007,95000,30375,Petrol,Individual,Manual,First Owner
378,Maruti Wagon R LXI CNG,2007,625000,101,Diesel,Individual,Manual,First Owner
379,Ford Ecosport 1.5 DV5 MT Titanium Optional,2012,434999,100000,Petrol,Dealer,Manual,First Owner
380,Fiat Punto EVO 1.3 Emotion,2012,4950000,55838,Diesel,Individual,Manual,First Owner
381,Chevrolet Enjoy TCDi LT 7 Seater,2018,350000,28000,Petrol,Dealer,Manual,Second Owner
382,Maruti Vitara Brezza VDi Option,2009,550000,53652,Diesel,Dealer,Manual,First Owner
383,Toyota Innova 2.5 GX (Diesel) 8 Seater,2017,280000,70000,Diesel,Individual,Manual,Third Owner
384,Toyota Innova 2.5 VX (Diesel) 8 Seater,2016,600000,35000,Diesel,Individual,Manual,First Owner
385,Hyundai Grand i10 1.2 Kappa Magna BSIV,2016,60000,40000,Diesel,Individual,Manual,Second Owner
386,Maruti Wagon R LXI Minor,2010,650000,35000,Petrol,Dealer,Manual,Second Owner
387,Maruti Esteem Lxi,2013,385000,40000,Petrol,Individual,Manual,First Owner
388,Honda City i DTEC SV,2017,550000,155201,Petrol,Individual,Automatic,Test Drive Car
389,Ford Figo Aspire Titanium Plus Diesel,2014,100000,100000,Diesel,Individual,Manual,First Owner
390,Audi Q5 3.0 TDI Quattro Technology,2009,2600000,20000,Diesel,Individual,Manual,First Owner
391,Honda BR-V i-DTEC VX MT,2010,270000,40000,Diesel,Individual,Manual,First Owner
392,Honda BR-V i-VTEC VX MT,2014,300000,80000,Diesel,Individual,Automatic,First Owner
393,BMW X5 xDrive 30d xLine,2013,240000,200000,Diesel,Individual,Manual,First Owner
394,Datsun RediGO S,2020,4950000,15000,Diesel,Individual,Manual,First Owner
395,Mercedes-Benz E-Class E250 CDI Elegance,2011,520000,74183,Diesel,Individual,Manual,First Owner
396,Hyundai i20 1.2 Magna,2020,110000,15000,Diesel,Individual,Manual,First Owner
397,Tata Indica DLS,2010,60000,110000,Diesel,Individual,Manual,First Owner
398,Toyota Etios VD,2007,175000,70000,Petrol,Dealer,Manual,First Owner
399,Maruti Wagon R VXI BS IV,2007,250000,47564,Petrol,Dealer,Manual,Third Owner
400,Hyundai Santro LE zipPlus,2007,239000,41000,CNG,Individual,Manual,First Owner
401,Toyota Corolla Altis D-4D J,2009,770000,22000,Petrol,Individual,Manual,First Owner
402,Maruti Omni E MPI STD BS IV,2009,300000,63500,Diesel,Individual,Manual,First Owner
403,Maruti Alto K10 VXI,2017,624000,30000,Petrol,Individual,Manual,First Owner
404,Chevrolet Tavera Neo 3 9 Str BSIII,2015,624000,108731,Diesel,Individual,Manual,First Owner
405,Tata Nano Lx BSIV,2007,335000,30000,Diesel,Dealer,Manual,First Owner
406,Hyundai EON Era Plus Sports Edition,2011,133000,63400,Diesel,Dealer,Manual,First Owner
407,Maruti Alto 800 LXI,2020,450000,55850,Diesel,Individual,Manual,First Owner
408,Ford Ecosport 1.5 DV5 MT Titanium,2013,409999,109000,Diesel,Individual,Automatic,First Owner
409,Hyundai i20 Sportz 1.2,2020,500000,70000,Petrol,Individual,Manual,First Owner
410,Hyundai i10 Magna 1.2,2017,550000,120000,Diesel,Individual,Manual,First Owner
411,Tata Hexa XM,2000,359000,55300,Petrol,Individual,Manual,Second Owner
412,Datsun GO T BSIV,2014,400000,3600,Petrol,Dealer,Manual,Second Owner
413,Maruti Swift Dzire VDI,2013,650000,97000,Petrol,Individual,Manual,First Owner
414,Hyundai Santro GLS I - Euro I,2017,350000,90000,Diesel,Individual,Manual,First Owner
415,Maruti Alto 800 LXI,2017,1475000,87000,Diesel,Individual,Manual,First Owner
416,BMW X1 sDrive 20d xLine,2015,1300000,11000,Petrol,Individual,Manual,First Owner
417,Maruti Wagon R LXI,2014,240000,144000,Petrol,Individual,Manual,Second Owner
418,Chevrolet Tavera Neo 3 LS 7 C BSIII,2014,350000,65000,Diesel,Individual,Manual,First Owner
419,Mercedes-Benz E-Class Exclusive E 200 BSIV,2010,280000,110000,Diesel,Individual,Manual,First Owner
420,Hyundai Verna 1.6 CRDI SX Option,2019,3100000,128000,Petrol,Individual,Manual,First Owner
421,Tata Manza Club Class Quadrajet90 LX,2017,227000,200000,Diesel,Trustmark Dealer,Manual,Third Owner
422,Mercedes-Benz C-Class Progressive C 220d,2017,120000,120000,Petrol,Individual,Manual,First Owner
423,Maruti 800 Std,2010,130000,70000,Diesel,Individual,Manual,First Owner
424,Renault Lodgy Stepway 85PS RXZ 8S,2014,60000,75000,Diesel,Individual,Manual,Second Owner
425,Maruti Ertiga VDI,2019,120000,40000,Diesel,Individual,Manual,First Owner
426,Renault KWID RXT,2017,160000,3600,Diesel,Individual,Manual,First Owner
427,Tata Tiago XZA AMT,2017,90000,28245,Diesel,Individual,Manual,First Owner
428,Volkswagen Jetta 2.0L TDI Highline AT,2001,200000,13000,Petrol,Individual,Manual,Second Owner
429,Maruti Eeco 5 STR With AC Plus HTR CNG,2007,300000,90000,Diesel,Individual,Manual,First Owner
430,Maruti Baleno Alpha 1.3,2002,300000,39039,Diesel,Individual,Manual,Second Owner
431,Mahindra Bolero 2011-2019 SLX,2015,825000,90000,Diesel,Individual,Manual,First Owner
432,Maruti Baleno Delta 1.2,2010,95000,110000,Diesel,Individual,Automatic,First Owner
433,Hyundai i10 Magna 1.2,2017,600000,39000,Diesel,Dealer,Manual,First Owner
434,Audi Q5 2.0 TDI,2014,350000,190000,Diesel,Individual,Manual,First Owner
435,Maruti Swift Dzire VDI,2014,600000,70000,Petrol,Individual,Manual,First Owner
436,Honda City i-DTEC SV,2013,170000,40000,Diesel,Individual,Manual,First Owner
437,Maruti Swift Dzire VDI,2014,650000,70000,Diesel,Individual,Manual,First Owner
438,Tata Tiago 1.2 Revotron XZ,2007,229999,40000,Petrol,Individual,Manual,First Owner
439,Maruti Wagon R VXI BS IV with ABS,2013,350000,97000,Diesel,Individual,Manual,First Owner
440,Honda Amaze S i-Vtech,2011,2800000,10000,Diesel,Individual,Manual,First Owner
441,Tata Indigo CR4,2020,100000,100000,Petrol,Individual,Automatic,First Owner
442,Audi A4 35 TDI Premium,2007,80000,300000,Petrol,Individual,Manual,Second Owner
443,Chevrolet Beat PS,2017,2600000,46000,Petrol,Individual,Manual,First Owner
444,Honda City i VTEC V,2010,60000,90000,Petrol,Individual,Manual,First Owner
445,Mahindra XUV500 W8 2WD,2010,525000,80000,Diesel,Individual,Automatic,First Owner
446,Maruti Swift Dzire LDI,2007,670000,11240,Petrol,Individual,Manual,First Owner
447,Hyundai Santro Sportz AMT,2007,135000,27289,Petrol,Dealer,Manual,First Owner
448,Maruti SX4 Zxi BSIII,2007,556000,66000,Petrol,Dealer,Manual,First Owner
449,Volkswagen Jetta 2.0L TDI Highline AT,2015,275000,100000,Petrol,Dealer,Manual,First Owner
450,Ford Fiesta Classic 1.4 Duratorq CLXI,2007,249000,9800,Petrol,Individual,Manual,Third Owner
451,Maruti Eeco 5 Seater AC BSIV,2018,500000,90000,Petrol,Individual,Manual,First Owner
452,Maruti 800 AC,2004,459999,49217,LPG,Individual,Automatic,Fourth & Above Owner
453,Maruti Ertiga VXI CNG,2019,60000,80000,Petrol,Individual,Manual,Second Owner
454,Toyota Innova Crysta 2.4 VX MT BSIV,2014,180000,7600,Petrol,Dealer,Manual,First Owner
455,Toyota Innova 2.5 V Diesel 8-seater,2007,56000,48000,Petrol,Individual,Manual,Third Owner
456,Ford EcoSport 1.5 TDCi Titanium BSIV,2017,50000,107000,Diesel,Individual,Manual,Second Owner
457,Hyundai Verna 1.6 VTVT,2007,325000,175000,Diesel,Individual,Manual,First Owner
458,Tata Indica Vista TDI LS,2020,750000,80000,Petrol,Individual,Manual,First Owner
459,Tata Nano LX,2015,269000,10500,Diesel,Individual,Manual,First Owner
460,Nissan Micra Diesel XV Premium,2012,470000,55000,Petrol,Individual,Manual,First Owner
461,Renault Duster 110PS Diesel RxZ AWD,2013,1600000,73000,Diesel,Dealer,Manual,First Owner
462,Honda City 1.5 S MT,2007,950000,89600,Petrol,Dealer,Manual,First Owner
463,Toyota Camry Hybrid,2017,300000,60000,Diesel,Individual,Manual,Third Owner
464,Ford Figo Titanium,2012,175000,60000,Petrol,Individual,Manual,Second Owner
465,Hyundai i20 Asta 1.4 CRDi,2007,385000,1100,Petrol,Individual,Manual,First Owner
466,Hyundai Santro LP zipPlus,2017,550000,29654,Diesel,Individual,Manual,First Owner
467,Hyundai EON LPG Magna Plus,2014,850000,60000,Diesel,Individual,Manual,First Owner
468,Hyundai Santro Magna BSIV,2010,145000,60000,Diesel,Individual,Manual,First Owner
469,Hyundai Xcent 1.2 Kappa S,2017,200999,76000,Diesel,Individual,Manual,First Owner
470,Maruti Baleno Alpha 1.2,2007,850000,35000,Diesel,Individual,Manual,First Owner
471,Skoda Laura L n K 1.9 PD,2013,755000,35000,Diesel,Individual,Manual,First Owner
472,Tata Hexa XT 4X4,2010,90000,41988,LPG,Individual,Automatic,Third Owner
473,Toyota Etios GD,2017,165000,65000,Petrol,Dealer,Manual,First Owner
474,Hyundai i10 Magna 1.1,2017,520000,40000,Diesel,Individual,Manual,First Owner
475,Maruti Wagon R DUO LPG,2017,1490000,16000,Diesel,Dealer,Manual,First Owner
476,Tata New Safari 4X2,2018,840000,65000,CNG,Individual,Manual,Second Owner
477,Maruti Ertiga VDI,2007,400000,52047,Diesel,Individual,Manual,Second Owner
478,Hyundai Verna 1.6 VTVT,2007,1230000,1100,Petrol,Individual,Manual,First Owner
479,Hyundai Creta 1.6 CRDi AT SX Plus,2010,120000,80000,Petrol,Individual,Manual,First Owner
480,Maruti Wagon R DUO LPG,2007,770000,10000,Diesel,Individual,Manual,Second Owner
481,Hyundai i20 1.2 Sportz,2011,470000,20000,Diesel,Individual,Automatic,First Owner
482,Maruti Wagon R LXI BS IV,2012,140000,60000,Diesel,Individual,Manual,First Owner
483,BMW 7 Series 730Ld,2016,390000,7000,Diesel,Individual,Automatic,First Owner
484,Maruti Ertiga ZDI Plus,2012,330000,28942,Electric,Individual,Manual,Third Owner
485,Audi A4 3.0 TDI Quattro,2017,120000,120000,Petrol,Individual,Manual,First Owner
486,Ford Ecosport 1.5 DV5 MT Titanium Optional,2017,700000,120000,Diesel,Individual,Manual,First Owner
487,Fiat Punto EVO 1.3 Dynamic,2017,869999,85962,Diesel,Individual,Manual,First Owner
488,Mahindra Thar 4X4,2006,3500000,12000,Diesel,Individual,Manual,Third Owner
489,Chevrolet Spark 1.0 LT,2017,270000,11918,Petrol,Dealer,Manual,First Owner
490,Hyundai Xcent 1.2 Kappa S,2014,550000,110000,Petrol,Dealer,Manual,First Owner
491,Chevrolet Beat Diesel,2018,350000,80000,Diesel,Dealer,Manual,First Owner
492,Maruti Wagon R VXI Minor,2013,100000,60000,Diesel,Individual,Manual,First Owner
493,Maruti Alto LXi BSII,2006,79000,9422,Diesel,Dealer,Manual,First Owner
494,Maruti Wagon R LXI Minor,2012,950000,52600,Diesel,Individual,Manual,First Owner
495,Nissan Sunny Diesel XL,2012,120000,35000,Petrol,Individual,Manual,First Owner
496,Chevrolet Beat PS,2015,799000,154000,Diesel,Dealer,Automatic,First Owner
497,Maruti Ertiga VXI,2018,60000,35000,Petrol,Individual,Manual,Second Owner
498,Maruti Swift Dzire VXI,2007,425000,1100,Petrol,Individual,Manual,Second Owner
499,Honda Brio S MT,2017,350000,56000,Diesel,Individual,Manual,First Owner
500,Maruti Ertiga SHVS ZDI,2007,1100000,50000,Petrol,Individual,Manual,First Owner
501,Ford Figo 1.5D Trend MT,2014,300000,40000,Diesel,Individual,Manual,First Owner
502,Fiat Linea Classic 1.3 Multijet,2019,715000,90010,Diesel,Individual,Manual,Second Owner
503,Maruti Baleno Zeta 1.2,2018,850000,41090,Diesel,Individual,Manual,First Owner
504,Hyundai Verna 1.6 SX,2006,836000,9000,Diesel,Individual,Manual,First Owner
505,Honda Brio S MT,2017,55000,25000,Petrol,Dealer,Manual,First Owner
506,Tata Hexa XT,2009,85000,112880,Petrol,Individual,Automatic,Second Owner
507,Tata Safari Storme EX,2007,700000,24000,Diesel,Individual,Manual,First Owner
508,Maruti Alto LXi,2018,100000,40000,Diesel,Individual,Manual,First Owner
509,Maruti Ertiga SHVS ZDI Plus,2007,300000,20000,Diesel,Dealer,Manual,First Owner
510,Hyundai Santro Sportz AMT,2012,60000,80000,Petrol,Individual,Manual,Second Owner
511,Hyundai Verna CRDi 1.6 SX Option,2016,170000,11918,Petrol,Dealer,Manual,First Owner
512,Maruti Swift Dzire VDI,2017,650000,50000,Diesel,Individual,Manual,First Owner
513,Maruti S-Cross Zeta DDiS 200 SH,2020,850000,100000,Petrol,Individual,Manual,First Owner
514,Maruti Wagon R VXI BS IV,2017,200000,35000,Diesel,Individual,Manual,First Owner
515,Ford Figo Titanium,2011,750000,70000,Diesel,Individual,Manual,First Owner
516,Volkswagen Vento New Diesel Highline,2017,700000,90246,Electric,Dealer,Manual,Third Owner
517,Datsun GO T BSIV,2005,611000,17000,Diesel,Individual,Manual,First Owner
518,Mahindra Renault Logan 1.5 DLS,2013,459999,96000,Diesel,Individual,Manual,Second Owner
519,Maruti Swift Dzire VDI,2017,60000,35000,Petrol,Dealer,Manual,Second Owner
520,Hyundai EON Magna Plus Option,2018,4500000,148620,Petrol,Dealer,Manual,First Owner
521,Mahindra TUV 300 Plus P4,2004,900000,6000,Diesel,Individual,Manual,Second Owner
522,Nissan Terrano XL Plus 85 PS,2017,900000,12999,Diesel,Individual,Manual,First Owner
523,Renault Duster 85PS Diesel RxL Optional,2011,60000,99000,Petrol,Individual,Manual,First Owner
524,Maruti SX4 VDI,2017,770000,120000,Petrol,Individual,Manual,First Owner
525,Honda City 1.3 DX,2014,641000,44000,Diesel,Individual,Manual,Second Owner
526,Chevrolet Cruze LTZ AT,2017,100000,80000,Petrol,Individual,Manual,First Owner
527,Maruti Swift Dzire VDI,2012,75000,90000,Diesel,Individual,Manual,First Owner
528,Ford Endeavour 2.5L 4X2 MT,2016,160000,124000,Diesel,Dealer,Manual,First Owner
529,Hyundai Xcent 1.1 CRDi SX Option,2017,110000,18591,Diesel,Dealer,Manual,First Owner
530,Volkswagen Vento 1.5 TDI Highline BSIV,2007,625000,60000,Diesel,Dealer,Manual,First Owner
531,Maruti Celerio VXI AT,2018,130000,50000,Petrol,Individual,Manual,First Owner
532,Hyundai Santro Magna AMT BSIV,2017,285000,35000,Diesel,Individual,Manual,First Owner
533,Datsun GO Plus T Option BSIV,2007,650000,7104,Diesel,Individual,Manual,First Owner
534,Maruti Wagon R LXI,2019,615000,10000,Diesel,Individual,Manual,First Owner
535,Maruti Swift ZXI Plus,2017,2600000,70000,Petrol,Individual,Manual,First Owner
536,Hyundai Grand i10 1.2 Kappa Sportz Dual Tone,2012,60000,90000,Diesel,Individual,Manual,First Owner
537,Toyota Fortuner 2.8 2WD AT BSIV,2017,300000,80000,Diesel,Individual,Manual,First Owner
538,Hyundai Santro Xing XL AT eRLX Euro III,2016,300000,80000,Petrol,Individual,Manual,First Owner
539,BMW 5 Series 520d Luxury Line,2013,2150000,10000,Petrol,Individual,Manual,Fourth & Above Owner
540,Renault Lodgy 85PS RxL,2014,4950000,110000,Petrol,Individual,Manual,Second Owner
541,Maruti Baleno Vxi,2020,148000,27005,Diesel,Individual,Manual,Fourth & Above Owner
542,Maruti S-Cross Zeta DDiS 200 SH,2017,600000,25000,Diesel,Individual,Manual,First Owner
543,Maruti SX4 Zxi with Leather BSIII,2010,130000,21000,Diesel,Individual,Manual,First Owner
544,Maruti S-Cross Delta DDiS 200 SH,2009,1000000,100000,Diesel,Individual,Manual,First Owner
545,Chevrolet Beat LS,2007,350000,40000,Petrol,Individual,Manual,First Owner
546,Maruti Alto LXi BSIII,2012,600000,100000,Diesel,Dealer,Manual,First Owner
547,Maruti Esteem Vxi - BSIII,2007,550000,100000,Petrol,Dealer,Manual,First Owner
548,Hyundai EON LPG Magna Plus,2007,784000,46000,Diesel,Individual,Manual,First Owner
549,Maruti Baleno Vxi,2009,220000,105000,Diesel,Individual,Manual,First Owner
550,Chevrolet Sail 1.2 Base,2007,80000,100000,Diesel,Individual,Manual,First Owner
551,Maruti Ritz VDi,2007,285000,180000,Petrol,Individual,Automatic,Second Owner
552,BMW 3 Series 320d Luxury Line,2013,271000,110000,Diesel,Dealer,Manual,First Owner
553,Honda City i-VTEC VX,2017,925000,29654,Petrol,Individual,Manual,First Owner
554,Tata Tiago 1.2 Revotron XZ,2016,250000,100000,Diesel,Individual,Manual,First Owner
555,BMW 5 Series 520d Luxury Line,2007,350000,190000,Petrol,Dealer,Manual,First Owner
556,Renault Duster 85PS Diesel RxL,2017,900000,120000,Diesel,Dealer,Manual,First Owner
557,Honda Amaze VX i-DTEC,2013,2900000,62000,Petrol,Individual,Manual,Second Owner
558,Datsun RediGO S,2007,1500000,73000,Petrol,Individual,Manual,First Owner
559,Renault KWID RXL,2017,50000,90000,Diesel,Individual,Manual,First Owner
560,Maruti Zen LXI,2017,290000,135000,Diesel,Individual,Manual,First Owner
561,Skoda Superb Ambition 2.0 TDI CR AT,2006,830000,49213,Diesel,Dealer,Manual,First Owner
562,Mahindra Renault Logan 1.5 DLS,2017,250000,50000,Diesel,Individual,Manual,First Owner
563,Maruti Swift VDI Optional,2006,125000,53000,Diesel,Individual,Manual,First Owner
564,Tata Indica Vista TDI LS,2012,330000,40219,Petrol,Individual,Manual,Second Owner
565,Tata Indica LSI,2011,120000,125000,Petrol,Individual,Manual,Second Owner
566,Hyundai i20 Magna 1.2,2011,350000,1000,Diesel,Dealer,Manual,First Owner
567,Nissan Micra Diesel XV Premium,2017,1150000,35000,Diesel,Dealer,Manual,First Owner
568,Maruti Ertiga ZDI,2006,125000,88600,Diesel,Individual,Manual,Second Owner
569,Tata Indigo GLX,2007,699000,40000,Diesel,Individual,Manual,First Owner
570,Skoda Superb Ambition 2.0 TDI CR AT,2018,355000,5000,CNG,Individual,Manual,First Owner
571,Honda WR-V i-DTEC VX,2014,1485000,67067,Diesel,Individual,Manual,First Owner
572,Maruti Swift Dzire AMT VDI,2020,1025000,7658,Petrol,Individual,Manual,First Owner
573,Toyota Corolla Altis 1.8 VL CVT,2017,811999,60000,Petrol,Dealer,Manual,First Owner
574,Mahindra XUV500 W8 4WD,2010,175000,120000,Diesel,Individual,Manual,First Owner
575,Maruti Swift VDI BSIV,2013,80000,11240,Petrol,Trustmark Dealer,Manual,First Owner
576,Hyundai Santro LE zipPlus,2014,106000,1010,Petrol,Individual,Manual,First Owner
577,Tata Nano Lx BSIV,2017,120000,35000,Diesel,Dealer,Manual,First Owner
578,Nissan Terrano XL 85 PS,2012,760000,24000,Petrol,Individual,Manual,Second Owner
579,Ford Figo Diesel Titanium,2017,120000,120000,Petrol,Individual,Manual,First Owner
580,Audi Q7 35 TDI Quattro Premium,2017,148000,244000,Electric,Trustmark Dealer,Automatic,First Owner
581,Tata Manza Aura (ABS) Safire BS IV,2019,1850000,29000,Diesel,Individual,Manual,First Owner
582,Maruti Wagon R VXI,2014,685000,47162,Petrol,Individual,Automatic,First Owner
583,Toyota Etios VD,2017,114999,7000,CNG,Individual,Manual,Third Owner
584,Maruti Baleno Alpha 1.3,2017,1350000,167223,Diesel,Dealer,Manual,First Owner
585,Maruti Alto LX,2018,300000,120000,Petrol,Individual,Manual,First Owner
586,Honda City i DTec SV,2016,699000,30000,Petrol,Trustmark Dealer,Manual,Third Owner
587,Ford EcoSport 1.5 TDCi Titanium BSIV,2017,100000,30000,Petrol,Individual,Manual,First Owner
588,Datsun GO T BSIV,2019,50000,135000,Petrol,Individual,Automatic,Second Owner
589,Tata Indica GLS BS IV,2017,200000,40000,Petrol,Individual,Manual,First Owner
590,Toyota Fortuner 4x2 AT,2007,150000,60000,Diesel,Individual,Manual,First Owner
591,Maruti Zen Estilo 1.1 LXI BSIII,2010,210000,45000,Diesel,Dealer,Automatic,First Owner
